Date,# of Q's Right,Total # Q's,% Right,Halftime Pts,Pts @ half,Rank @ Half,Pts b4 Final,# sweeps,Final Pts,Max Score,% Points,Rank,# of Teams,# ppl on team
10/2/2018,16.5,28,58.93%,3,44,,74,4,34,178,19.10%,14,14,6
10/9/2018,15,29,51.72%,9,36,,68,2,108,178,60.67%,7,,
10/16/2018,19,30,63.33%,6,39,,90,4,90,180,50.00%,7,18,6
10/23/2018,23,30,76.67%,10,45,3,83,2,123,176,69.89%,4,19,
10/30/2018,19,28,67.86%,9,32,,79,1,119,178,66.85%,4,,
11/6/2018,16,27,59.26%,4,33,,59,1,99,180,55.00%,7,23,
11/13/2018,21,29,72.41%,12,49,,91,3,131,181,72.38%,9,24,
11/20/2018,10,28,35.71%,3,27,,43,1,3,178,1.69%,,30,
11/27/2018,14,28,50.00%,6,37,,62,1,22,178,12.36%,,,
12/4/2018,19,28,67.86%,6,44,,75,2,35,178,19.66%,,,7
12/11/2018,15,28,53.57%,9,39,,74,2,34,178,19.10%,,,7
12/18/2018,19,28,67.86%,12,56,4,82,2,122,181,67.40%,10,22,7
1/8/2019,21,28,75.0%,12,48,3,83,3,123,178,69.10%,5,26,8
1/15/2019,19,28,67.9%,6,42,,81,3,121,178,67.98%,5,30,8
1/22/2019,14,28,50.0%,6,33,6,59,1,59,178,33.15%,14,28,8
1/29/2019,18,28,64.3%,12,41,3,81,2,71,178,39.89%,8,17,8
2/5/2019,19,29,65.5%,14,41,,84,2,84,181,46.41%,9,32,7
2/12/2019,24,29,82.8%,12,55,1,101,5,61,181,33.70%,11,26,8
02/19/2019,19,28,67.9%,9,45,9,78,3,76,178,42.70%,9,32,8
2/26/2019,18,28,64.3%,12,47,1,81,1,81,178,45.51%,3,25,8
3/5/2019,16,28,57.1%,9,24,23,77,2,70,178,39.33%,10,23,8
3/12/2019,16,28,57.1%,9,35,8,77,3,77,178,43.26%,4,24,8
3/19/2019,15,29,51.7%,9,29,17,43,0,83,181,45.86%,6,20,6
3/26/2019,18,28,64.3%,12,48,4,74,3,74,178,41.57%,9,??,7
3/27/2019,8,29,27.6%,3,21,10,39,1,0,181,0.00%,11,12,2
03/30/2019,12,30,40.0%,12,29,27,33,0,40,184,21.74%,30,33,8
4/2/2019,19,28,67.9%,0,29,12,90,4,130,178,73.03%,2,24,8
4/9/2019,18,28,64.3%,6,41,12,76,3,116,178,65.17%,6,27,6
4/16/2019,19,29,65.5%,12,36,14,82,2,82,181,45.30%,18,34,5
4/23/2019,22,29,75.9%,12,50,4,97,3,137,181,75.69%,8,24,7
4/30/2019,19,31,61.3%,12,48,4,71,2,111,180,61.67%,10,28,5
5/7/2019,21,28,75.0%,18,51,7,88,2,88,178,49.44%,4,26,5
5/14/2019,19,29,65.5%,6,47,9,77,4,77,178,43.26%,14,26,7
5/21/2019,16,28,57.1%,6,36,10,66,2,26,178,14.61%,26,29,6
5/28/2019,16,28,57.1%,6,44,?,75,2,35,178,19.66%,20,25,6
6/4/2019,14,28,50.0%,12,31,12,56,1,106,178,59.55%,18,29,6
6/11/2019,16,28,57.1%,0,30,10,78,3,78,178,43.82%,11,20,6
6/18/2019,17,28,60.7%,6,34,17,80,2,40,178,22.47%,16,25,7
6/25/2019,14,28,50.0%,9,26,28,55,1,55,178,30.90%,17,28,4
7/2/2019,12,28,42.9%,3,21,29,54,2,54,178,30.34%,19,30,6
7/9/2019,17,28,60.7%,6,39,29,72,2,72,178,40.45%,19,32,6
7/16/2019,17,29,58.6%,12,34,17,66,1,66,181,36.46%,15,27,5
7/23/2019,13,28,46.4%,12,30,22,45,1,85,178,47.75%,10,24,7
7/30/2019,19,28,67.9%,9,26,24,76,2,116,178,65.17%,2,25,6
8/6/2019,20,29,69.0%,15,49,6,91,2,91,181,50.28%,11,31,8
8/13/2019,19,28,67.9%,15,40,,84,2,44,178,24.72%,25,30,4
8/20/2019,21,28,75.0%,12,44,10,75,2,115,178,64.61%,15,27,5
8/27/2019,18,29,62.1%,15,43,7,67,2,107,181,59.12%,9,26,4
9/3/2019,16,28,57.1%,9,42,16,63,1,103,178,57.87%,14,26,6
9/10/2019,27,31,87.1%,20,56,1,90,3,130,180,72.22%,1,19,5
9/17/2019,17,28,60.7%,23,35,12,66,1,26,178,14.61%,12,22,6
9/24/2019,15,29,51.7%,3,16,26,52,2,92,181,50.83%,4,29,6
10/1/2019,20,28,71.4%,9,42,16,89,3,89,178,50.00%,15,28,7
10/8/2019,17,28,60.7%,9,28,13,68,2,28,178,15.73%,13,23,7
10/15/2019,19,28,67.9%,9,41,6,86,2,86,178,48.31%,12,24,8
10/22/2019,5,28,17.9%,0,0,22,25,1,25,178,14.04%,20,22,6
10/29/2019,21,28,75.0%,9,42,9,88,3,128,178,71.91%,5,25,7
11/5/2019,19,28,67.9%,12,48,5,82,0,122,178,68.54%,3,26,7
11/12/2019,21,28,75.0%,9,42,6,91,3,91,178,51.12%,13,21,8
11/19/2019,17,27,63.0%,4,32,18,79,2,79,180,43.89%,4,28,6
11/26/2019,27,28,96.4%,18,56,12,117,5,157,178,88.20%,4,31,7
12/3/2019,14,28,50.0%,3,34,?,66,2,26,178,14.61%,24,32,2
12/10/2019,21,31,67.7%,18,52,5,76,3,116,186,62.37%,9,20,8
12/17/2019,19,27,70.4%,4,36,9,73,2,113,180,62.78%,11,25,7
1/7/2020,21,28,75.0%,9,50,1,5,94,54,178,30.34%,8,14,8
1/14/2020,21,31,67.7%,12,46,5,1,79,119,178,66.85%,6,26,5
1/21/2020,17,28,60.7%,9,38,12,2,73,73,178,41.01%,5,24,8
1/28/2020,19,28,67.9%,9,45,11,3,87,127,178,71.35%,2,26,7
2/4/2020,18,28,64.3%,6,42,6,3,77,77,178,43.26%,10,24,5
2/11/2020,17,28,60.7%,9,28,19,2,75,75,178,42.13%,10,24,6
2/18/2020,14,28,50.0%,3,33,17,1,65,25,178,14.04%,15,25,7
2/25/2020,19,28,67.9%,9,44,13,1,70,110,178,61.80%,6,23,8
3/3/2020,14,28,50.0%,6,36,15,2,55,15,178,8.43%,19,20,8
3/10/2020,21,28,75.0%,18,56,2,2,94,94,178,52.81%,6,20,4